year,month,0-2[%],2-4[%],4-6[%],6-8[%],8-10[%],10-12[%],12-14[%],14¥H¤W[%]
2016,1,0.26,1.5,5.65,33.01,14.34,16.01,9.96,19.27
2016,2,0.26,1.67,5.73,33.02,14.52,15.83,9.91,19.06
2016,3,0.27,1.71,6.61,32.8,14.27,16,10.19,18.15
2016,4,0.26,1.74,6.93,32.66,14.16,15.88,10.27,18.1
2016,5,0.26,1.68,6.92,32.67,14.22,15.85,10.12,18.29
2016,6,0.27,1.67,6.89,32.92,14.41,14.71,10.87,18.25
2016,7,0.26,1.65,7.51,32.59,14.44,15.06,10.43,18.06
2016,8,0.26,1.59,7.36,32.56,14.34,14.98,10.77,18.14
2016,9,0.29,1.82,7.29,32.75,13.61,14.91,11.17,18.16
2016,10,0.27,1.8,7.04,32.78,13.54,15.08,11.19,18.3
2016,11,0.38,1.79,7.01,32.69,13.8,14.99,11.17,18.17
2016,12,0.29,1.95,6.93,32.88,13.39,14.88,11.3,18.38
2017,1,0.27,2.6,7.11,33.43,13.35,15.01,9.9,18.33
2017,2,0.27,2.4,7.08,33.6,13.44,14.93,9.95,18.33
2017,3,0.27,2.52,7.03,33.73,13.24,15.6,9.38,18.23
2017,4,0.26,2.54,7.24,33.8,13.06,15.73,9.26,18.11
2017,5,0.26,2.54,7.09,33.84,13.07,15.69,9.24,18.27
2017,6,0.26,2.42,6.85,33.84,13.36,15.29,9.58,18.4
2017,7,0.25,2.41,6.94,33.86,13.61,15.66,9.48,17.79
2017,8,0.25,2.4,6.9,33.91,13.66,15.62,9.54,17.72
2017,9,0.25,2.52,6.89,33.92,13.78,15.57,9.91,17.15
2017,10,0.25,2.47,7.28,33.69,13.73,15.59,9.71,17.28
2017,11,0.26,2.15,7.26,33.84,13.71,15.5,9.92,17.36
2017,12,0.28,2.15,7.26,33.71,13.51,16.01,9.88,17.2
2018,1,0.22,2.1,7.48,33.46,13.4,15.98,9.87,17.5
2018,2,0.22,2.17,7.83,33.23,13.85,15.88,9.85,16.96
2018,3,0.22,2.2,7.67,33.37,13.82,15.5,10.42,16.81
2018,4,0.22,2.26,7.89,33.37,13.74,15.5,10.29,16.75
2018,5,0.22,2.3,7.99,33.18,14.03,15.12,10.33,16.82
2018,6,0.21,3.17,8.05,33.33,14.8,14.35,10.07,16.02
2018,7,0.22,3.13,7.48,33.51,15.26,13.97,10.09,16.34
2018,8,0.21,3.1,7.48,33.75,15.14,13.91,10.01,16.39
2018,9,0.21,3.49,7.74,33.76,13.96,15.3,9.33,16.22
2018,10,0.89,3.48,7.43,33.71,13.63,15.31,9.24,16.3
2018,11,0.89,3.5,7.48,33.7,13.56,15.18,9.32,16.36
2018,12,0.89,3.6,7.3,33.67,13.6,15.32,9.35,16.27
2019,1,0.87,3.53,7.18,33.58,13.69,15.46,9.36,16.34
2019,2,0.87,3.57,7.23,33.63,13.62,15.32,9.43,16.32
2019,3,0.87,3.23,7.21,34.37,14.34,14.18,9.84,15.96
2019,4,0.22,3.17,7.68,34.48,14.41,14.2,9.83,16.01
2019,5,0.22,3.17,7.72,34.55,14.37,14.09,9.94,15.93
2019,6,0.22,3.52,7.68,34.38,14.22,13.99,9.93,16.07
2019,7,0.21,3.5,7.76,34.41,14.09,14.03,9.72,16.27
2019,8,0.25,3.5,7.78,34.58,13.96,13.94,9.7,16.29
2019,9,0.31,3.69,7.68,35.22,13.71,13.75,9.75,15.88
2019,10,0.88,3.67,7.46,35.01,13.67,13.78,9.92,15.6
2019,11,0.89,3.67,7.45,35.04,13.38,13.79,10.11,15.67
2019,12,0.89,3.77,7.3,34.95,13.19,13.76,10.37,15.76
2020,1,0.9,3.69,7.32,34.8,13.17,13.81,10.36,15.95
2020,2,0.91,3.74,7.4,34.94,13.09,13.68,10.41,15.82
2020,3,0.92,3.75,7.27,35.02,13.18,13.71,10.59,15.55
2020,4,0.33,3.72,7.67,35.5,13.11,13.79,10.29,15.58
2020,5,0.3,3.73,7.77,35.8,12.84,13.73,10.3,15.55
2020,6,0.22,3.73,7.92,36,12.66,14,10.2,15.27
2020,7,0.79,3.79,7.68,35.9,12.53,14.02,10.06,15.24
2020,8,0.89,3.8,7.56,36.39,12.51,13.9,9.98,14.97
2020,9,0.96,3.99,7.53,36.72,12.47,14.09,9.7,14.55
2020,10,1.01,4,7.58,36.47,12.47,14.17,9.68,14.62
2020,11,1.03,3.99,7.51,36.21,12.71,14.16,9.71,14.68
2020,12,1.05,3.97,7.44,35.93,13.03,14.21,9.71,14.66
2021,1,1.02,3.88,7.5,35.85,13.08,14.33,9.57,14.77
2021,2,1.04,3.87,7.57,35.95,13.09,14.28,9.59,14.61
2021,3,1.09,4.17,7.53,35.94,13,14.35,9.6,14.31
2021,4,1.07,4.16,7.75,35.79,12.99,14.37,9.54,14.33
2021,5,1.07,4.14,7.73,35.52,13.07,14.46,9.65,14.36
2021,6,1.15,4.05,7.84,35.69,12.93,14.48,9.64,14.23
2021,7,1.12,3.99,7.92,35.61,12.99,14.45,9.49,14.43
2021,8,1.13,3.99,7.92,35.74,12.99,14.46,9.57,14.21
2021,9,1.14,4.13,8.12,35.67,13.05,14.45,9.49,13.95
2021,10,1.12,4.09,8.26,35.57,12.99,14.56,9.47,13.94
2021,11,1.12,4.08,8.24,35.48,12.99,14.57,9.55,13.95
2021,12,1.06,4.29,8.17,35.66,12.87,14.78,9.36,13.83
2022,1,1.03,4.27,8.23,35.62,12.88,14.77,9.3,13.9
2022,2,1.05,4.26,8.22,35.63,12.87,14.71,9.37,13.89
2022,3,1.12,4.46,8.02,36.06,12.84,14.37,9.31,13.81
2022,4,1.11,4.45,8.16,36.12,12.79,14.18,9.28,13.9
2022,5,1.02,4.44,8.19,36.16,12.86,14.1,9.34,13.89
2022,6,0.72,4.84,8.74,36.74,12.82,12.91,9.37,13.86
2022,7,0.28,4.8,9.08,34.56,14.41,13.11,8.84,14.91
2022,8,0.38,4.8,9.03,34.41,14.45,12.96,9.02,14.95
2022,9,0.55,4.89,9.52,33.88,14.42,12.81,9.03,14.9
2022,10,0.99,4.85,7.66,35.73,14.21,12.63,9.14,14.81
2022,11,1,4.82,6.84,36.3,14.11,12.77,9.33,14.84
2022,12,1,4.83,6.77,36.63,13.93,12.69,9.35,14.8
2023,1,0.25,5.54,6.83,36.41,13.93,12.6,9.25,15.19
2023,2,0.21,5.58,6.77,36.23,14,12.55,9.27,15.38
2023,3,0.21,5.89,6.8,34.33,15.81,12.35,9.17,15.45
2023,4,0.2,5.83,6.97,34.07,15.95,12.23,9.07,15.67
